eid,vid,cid
194399,64800,6480
0,0,0
1,0,5611
2,0,2563
3,0,2900
4,1,18
5,1,5629
6,1,2581
7,1,2918
8,2,36
9,2,5647
10,2,2599
11,2,2936
12,3,54
13,3,5665
14,3,2617
15,3,2954
16,4,72
17,4,5683
18,4,2635
19,4,2972
20,5,90
21,5,5701
22,5,2653
23,5,2990
24,6,108
25,6,5719
26,6,2671
27,6,3008
28,7,126
29,7,5737
30,7,2689
31,7,3026
32,8,144
33,8,5755
34,8,2707
35,8,3044
36,9,162
37,9,5773
38,9,2725
39,9,3062
40,10,180
41,10,5791
42,10,2743
43,10,3080
44,11,198
45,11,5809
46,11,2761
47,11,3098
48,12,216
49,12,5827
50,12,2779
51,12,3116
52,13,234
53,13,5845
54,13,2797
55,13,3134
56,14,252
57,14,5863
58,14,2815
59,14,3152
60,15,270
61,15,5881
62,15,2833
63,15,3170
64,16,288
65,16,5899
66,16,2851
67,16,3188
68,17,306
69,17,5917
70,17,2869
71,17,3206
72,18,324
73,18,5935
74,18,2887
75,18,3224
76,19,342
77,19,5953
78,19,2905
79,19,3242
80,20,360
81,20,5971
82,20,2923
83,20,3260
84,21,378
85,21,5989
86,21,2941
87,21,3278
88,22,396
89,22,6007
90,22,2959
91,22,3296
92,23,414
93,23,6025
94,23,2977
95,23,3314
96,24,432
97,24,6043
98,24,2995
99,24,3332
100,25,450
101,25,6061
102,25,3013
103,25,3350
104,26,468
105,26,6079
106,26,3031
107,26,3368
108,27,486
109,27,6097
110,27,3049
111,27,3386
112,28,504
113,28,6115
114,28,3067
115,28,3404
116,29,522
117,29,6133
118,29,3085
119,29,3422
120,30,540
121,30,6151
122,30,3103
123,30,3440
124,31,558
125,31,6169
126,31,3121
127,31,3458
128,32,576
129,32,6187
130,32,3139
131,32,3476
132,33,594
133,33,6205
134,33,3157
135,33,3494
136,34,612
137,34,6223
138,34,3175
139,34,3512
140,35,630
141,35,6241
142,35,3193
143,35,3530
144,36,648
145,36,6259
146,36,3211
147,36,3548
148,37,666
149,37,6277
150,37,3229
151,37,3566
152,38,684
153,38,6295
154,38,3247
155,38,3584
156,39,702
157,39,6313
158,39,3265
159,39,3602
160,40,720
161,40,6331
162,40,3283
163,40,3620
164,41,738
165,41,6349
166,41,3301
167,41,3638
168,42,756
169,42,6367
170,42,3319
171,42,3656
172,43,774
173,43,6385
174,43,3337
175,43,3674
176,44,792
177,44,6403
178,44,3355
179,44,3692
180,45,810
181,45,6421
182,45,3373
183,45,3710
184,46,828
185,46,6439
186,46,3391
187,46,3728
188,47,846
189,47,6457
190,47,3409
191,47,3746
192,48,864
193,48,6475
194,48,3427
195,48,3764
196,49,882
197,49,13
198,49,3445
199,49,3782
200,50,900
201,50,31
202,50,3463
203,50,3800
204,51,918
205,51,49
206,51,3481
207,51,3818
208,52,936
209,52,67
210,52,3499
211,52,3836
212,53,954
213,53,85
214,53,3517
215,53,3854
216,54,972
217,54,103
218,54,3535
219,54,3872
220,55,990
221,55,121
222,55,3553
223,55,3890
224,56,1008
225,56,139
226,56,3571
227,56,3908
228,57,1026
229,57,157
230,57,3589
231,57,3926
232,58,1044
233,58,175
234,58,3607
235,58,3944
236,59,1062
237,59,193
238,59,3625
239,59,3962
240,60,1080
241,60,211
242,60,3643
243,60,3980
244,61,1098
245,61,229
246,61,3661
247,61,3998
248,62,1116
249,62,247
250,62,3679
251,62,4016
252,63,1134
253,63,265
254,63,3697
255,63,4034
256,64,1152
257,64,283
258,64,3715
259,64,4052
260,65,1170
261,65,301
262,65,3733
263,65,4070
264,66,1188
265,66,319
266,66,3751
267,66,4088
268,67,1206
269,67,337
270,67,3769
271,67,4106
272,68,1224
273,68,355
274,68,3787
275,68,4124
276,69,1242
277,69,373
278,69,3805
279,69,4142
280,70,1260
281,70,391
282,70,3823
283,70,4160
284,71,1278
285,71,409
286,71,3841
287,71,4178
288,72,1296
289,72,427
290,72,3859
291,72,4196
292,73,1314
293,73,445
294,73,3877
295,73,4214
296,74,1332
297,74,463
298,74,3895
299,74,4232
300,75,1350
301,75,481
302,75,3913
303,75,4250
304,76,1368
305,76,499
306,76,3931
307,76,4268
308,77,1386
309,77,517
310,77,3949
311,77,4286
312,78,1404
313,78,535
314,78,3967
315,78,4304
316,79,1422
317,79,553
318,79,3985
319,79,4322
320,80,1440
321,80,571
322,80,4003
323,80,4340
324,81,1458
325,81,589
326,81,4021
327,81,4358
328,82,1476
329,82,607
330,82,4039
331,82,4376
332,83,1494
333,83,625
334,83,4057
335,83,4394
336,84,1512
337,84,643
338,84,4075
339,84,4412
340,85,1530
341,85,661
342,85,4093
343,85,4430
344,86,1548
345,86,679
346,86,4111
347,86,4448
348,87,1566
349,87,697
350,87,4129
351,87,4466
352,88,1584
353,88,715
354,88,4147
355,88,4484
356,89,1602
357,89,733
358,89,4165
359,89,4502
360,90,1620
361,90,751
362,90,4183
363,90,4520
364,91,1638
365,91,769
366,91,4201
367,91,4538
368,92,1656
369,92,787
370,92,4219
371,92,4556
372,93,1674
373,93,805
374,93,4237
375,93,4574
376,94,1692
377,94,823
378,94,4255
379,94,4592
380,95,1710
381,95,841
382,95,4273
383,95,4610
384,96,1728
385,96,859
386,96,4291
387,96,4628
388,97,1746
389,97,877
390,97,4309
391,97,4646
392,98,1764
393,98,895
394,98,4327
395,98,4664
396,99,1782
397,99,913
398,99,4345
399,99,4682
400,100,1800
401,100,931
402,100,4363
403,100,4700
404,101,1818
405,101,949
406,101,4381
407,101,4718
408,102,1836
409,102,967
410,102,4399
411,102,4736
412,103,1854
413,103,985
414,103,4417
415,103,4754
416,104,1872
417,104,1003
418,104,4435
419,104,4772
420,105,1890
421,105,1021
422,105,4453
423,105,4790
424,106,1908
425,106,1039
426,106,4471
427,106,4808
428,107,1926
429,107,1057
430,107,4489
431,107,4826
432,108,1944
433,108,1075
434,108,4507
435,108,4844
436,109,1962
437,109,1093
438,109,4525
439,109,4862
440,110,1980
441,110,1111
442,110,4543
443,110,4880
444,111,1998
445,111,1129
446,111,4561
447,111,4898
448,112,2016
449,112,1147
450,112,4579
451,112,4916
452,113,2034
453,113,1165
454,113,4597
455,113,4934
456,114,2052
457,114,1183
458,114,4615
459,114,4952
460,115,2070
461,115,1201
462,115,4633
463,115,4970
464,116,2088
465,116,1219
466,116,4651
467,116,4988
468,117,2106
469,117,1237
470,117,4669
471,117,5006
472,118,2124
473,118,1255
474,118,4687
475,118,5024
476,119,2142
477,119,1273
478,119,4705
479,119,5042
480,120,2160
481,120,1291
482,120,4723
483,120,5060
484,121,2178
485,121,1309
486,121,4741
487,121,5078
488,122,2196
489,122,1327
490,122,4759
491,122,5096
492,123,2214
493,123,1345
494,123,4777
495,123,5114
496,124,2232
497,124,1363
498,124,4795
499,124,5132
500,125,2250
501,125,1381
502,125,4813
503,125,5150
504,126,2268
505,126,1399
506,126,4831
507,126,5168
508,127,2286
509,127,1417
510,127,4849
511,127,5186
512,128,2304
513,128,1435
514,128,4867
515,128,5204
516,129,2322
517,129,1453
518,129,4885
519,129,5222
520,130,2340
521,130,1471
522,130,4903
523,130,5240
524,131,2358
525,131,1489
526,131,4921
527,131,5258
528,132,2376
529,132,1507
530,132,4939
531,132,5276
532,133,2394
533,133,1525
534,133,4957
535,133,5294
536,134,2412
537,134,1543
538,134,4975
539,134,5312
540,135,2430
541,135,1561
542,135,4993
543,135,5330
544,136,2448
545,136,1579
546,136,5011
547,136,5348
548,137,2466
549,137,1597
550,137,5029
551,137,5366
552,138,2484
553,138,1615
554,138,5047
555,138,5384
556,139,2502
557,139,1633
558,139,5065
559,139,5402
560,140,2520
561,140,1651
562,140,5083
563,140,5420
564,141,2538
565,141,1669
566,141,5101
567,141,5438
568,142,2556
569,142,1687
570,142,5119
571,142,5456
572,143,2574
573,143,1705
574,143,5137
575,143,5474
576,144,2592
577,144,1723
578,144,5155
579,144,5492
580,145,2610
581,145,1741
582,145,5173
583,145,5510
584,146,2628
585,146,1759
586,146,5191
587,146,5528
588,147,2646
589,147,1777
590,147,5209
591,147,5546
592,148,2664
593,148,1795
594,148,5227
595,148,5564
596,149,2682
597,149,1813
598,149,5245
599,149,5582
600,150,2700
601,150,1831
602,150,5263
603,150,5600
604,151,2718
605,151,1849
606,151,5281
607,151,5618
608,152,2736
609,152,1867
610,152,5299
611,152,5636
612,153,2754
613,153,1885
614,153,5317
615,153,5654
616,154,2772
617,154,1903
618,154,5335
619,154,5672
620,155,2790
621,155,1921
622,155,5353
623,155,5690
624,156,2808
625,156,1939
626,156,5371
627,156,5708
628,157,2826
629,157,1957
630,157,5389
631,157,5726
632,158,2844
633,158,1975
634,158,5407
635,158,5744
636,159,2862
637,159,1993
638,159,5425
639,159,5762
640,160,2880
641,160,2011
642,160,5443
643,160,5780
644,161,2898
645,161,2029
646,161,5461
647,161,5798
648,162,2916
649,162,2047
650,162,5479
651,162,5816
652,163,2934
653,163,2065
654,163,5497
655,163,5834
656,164,2952
657,164,2083
658,164,5515
659,164,5852
660,165,2970
661,165,2101
662,165,5533
663,165,5870
664,166,2988
665,166,2119
666,166,5551
667,166,5888
668,167,3006
669,167,2137
670,167,5569
671,167,5906
672,168,3024
673,168,2155
674,168,5587
675,168,5924
676,169,3042
677,169,2173
678,169,5605
679,169,5942
680,170,3060
681,170,2191
682,170,5623
683,170,5960
684,171,3078
685,171,2209
686,171,5641
687,171,5978
688,172,3096
689,172,2227
690,172,5659
691,172,5996
692,173,3114
693,173,2245
694,173,5677
695,173,6014
696,174,3132
697,174,2263
698,174,5695
699,174,6032
700,175,3150
701,175,2281
702,175,5713
703,175,6050
704,176,3168
705,176,2299
706,176,5731
707,176,6068
708,177,3186
709,177,2317
710,177,5749
711,177,6086
712,178,3204
713,178,2335
714,178,5767
715,178,6104
716,179,3222
717,179,2353
718,179,5785
719,179,6122
720,180,3240
721,180,2371
722,180,5803
723,180,6140
724,181,3258
725,181,2389
726,181,5821
727,181,6158
728,182,3276
729,182,2407
730,182,5839
731,182,6176
732,183,3294
733,183,2425
734,183,5857
735,183,6194
736,184,3312
737,184,2443
738,184,5875
739,184,6212
740,185,3330
741,185,2461
742,185,5893
743,185,6230
744,186,3348
745,186,2479
746,186,5911
747,186,6248
748,187,3366
749,187,2497
750,187,5929
751,187,6266
752,188,3384
753,188,2515
754,188,5947
755,188,6284
756,189,3402
757,189,2533
758,189,5965
759,189,6302
760,190,3420
761,190,2551
762,190,5983
763,190,6320
764,191,3438
765,191,2569
766,191,6001
767,191,6338
768,192,3456
769,192,2587
770,192,6019
771,192,6356
772,193,3474
773,193,2605
774,193,6037
775,193,6374
776,194,3492
777,194,2623
778,194,6055
779,194,6392
780,195,3510
781,195,2641
782,195,6073
783,195,6410
784,196,3528
785,196,2659
786,196,6091
787,196,6428
788,197,3546
789,197,2677
790,197,6109
791,197,6446
792,198,3564
793,198,2695
794,198,6127
795,198,6464
796,199,3582
797,199,2713
798,199,6145
799,199,2
800,200,3600
801,200,2731
802,200,6163
803,200,20
804,201,3618
805,201,2749
806,201,6181
807,201,38
808,202,3636
809,202,2767
810,202,6199
811,202,56
