eid,vid,cid
233279,64800,12960
0,0,0
1,0,149
2,0,11212
3,0,5575
4,0,6360
5,0,12559
6,0,8108
7,0,8505
8,0,408
9,0,10026
10,0,12828
11,1,36
12,1,185
13,1,11248
14,1,5611
15,1,6396
16,1,12595
17,1,8144
18,1,8541
19,1,444
20,1,10062
21,1,12864
22,2,72
23,2,221
24,2,11284
25,2,5647
26,2,6432
27,2,12631
28,2,8180
29,2,8577
30,2,480
31,2,10098
32,2,12900
33,3,108
34,3,257
35,3,11320
36,3,5683
37,3,6468
38,3,12667
39,3,8216
40,3,8613
41,3,516
42,3,10134
43,3,12936
44,4,144
45,4,293
46,4,11356
47,4,5719
48,4,6504
49,4,12703
50,4,8252
51,4,8649
52,4,552
53,4,10170
54,4,12
55,5,180
56,5,329
57,5,11392
58,5,5755
59,5,6540
60,5,12739
61,5,8288
62,5,8685
63,5,588
64,5,10206
65,5,48
66,6,216
67,6,365
68,6,11428
69,6,5791
70,6,6576
71,6,12775
72,6,8324
73,6,8721
74,6,624
75,6,10242
76,6,84
77,7,252
78,7,401
79,7,11464
80,7,5827
81,7,6612
82,7,12811
83,7,8360
84,7,8757
85,7,660
86,7,10278
87,7,120
88,8,288
89,8,437
90,8,11500
91,8,5863
92,8,6648
93,8,12847
94,8,8396
95,8,8793
96,8,696
97,8,10314
98,8,156
99,9,324
100,9,473
101,9,11536
102,9,5899
103,9,6684
104,9,12883
105,9,8432
106,9,8829
107,9,732
108,9,10350
109,9,192
110,10,360
111,10,509
112,10,11572
113,10,5935
114,10,6720
115,10,12919
116,10,8468
117,10,8865
118,10,768
119,10,10386
120,10,228
121,11,396
122,11,545
123,11,11608
124,11,5971
125,11,6756
126,11,12955
127,11,8504
128,11,8901
129,11,804
130,11,10422
131,11,264
132,12,432
133,12,581
134,12,11644
135,12,6007
136,12,6792
137,12,31
138,12,8540
139,12,8937
140,12,840
141,12,10458
142,12,300
143,13,468
144,13,617
145,13,11680
146,13,6043
147,13,6828
148,13,67
149,13,8576
150,13,8973
151,13,876
152,13,10494
153,13,336
154,14,504
155,14,653
156,14,11716
157,14,6079
158,14,6864
159,14,103
160,14,8612
161,14,9009
162,14,912
163,14,10530
164,14,372
165,15,540
166,15,689
167,15,11752
168,15,6115
169,15,6900
170,15,139
171,15,8648
172,15,9045
173,15,948
174,15,10566
175,15,408
176,16,576
177,16,725
178,16,11788
179,16,6151
180,16,6936
181,16,175
182,16,8684
183,16,9081
184,16,984
185,16,10602
186,16,444
187,17,612
188,17,761
189,17,11824
190,17,6187
191,17,6972
192,17,211
193,17,8720
194,17,9117
195,17,1020
196,17,10638
197,17,480
198,18,648
199,18,797
200,18,11860
201,18,6223
202,18,7008
203,18,247
204,18,8756
205,18,9153
206,18,1056
207,18,10674
208,18,516
209,19,684
210,19,833
211,19,11896
212,19,6259
213,19,7044
214,19,283
215,19,8792
216,19,9189
217,19,1092
218,19,10710
219,19,552
220,20,720
221,20,869
222,20,11932
223,20,6295
224,20,7080
225,20,319
226,20,8828
227,20,9225
228,20,1128
229,20,10746
230,20,588
231,21,756
232,21,905
233,21,11968
234,21,6331
235,21,7116
236,21,355
237,21,8864
238,21,9261
239,21,1164
240,21,10782
241,21,624
242,22,792
243,22,941
244,22,12004
245,22,6367
246,22,7152
247,22,391
248,22,8900
249,22,9297
250,22,1200
251,22,10818
252,22,660
253,23,828
254,23,977
255,23,12040
256,23,6403
257,23,7188
258,23,427
259,23,8936
260,23,9333
261,23,1236
262,23,10854
263,23,696
264,24,864
265,24,1013
266,24,12076
267,24,6439
268,24,7224
269,24,463
