eid,vid,cid
194399,64800,48600
0,0,23606
1,0,36098
2,0,1140
3,0,28859
4,0,18148
5,0,18510
6,0,6226
7,0,540
8,0,42014
9,0,20879
10,0,23802
11,0,47088
12,1,23741
13,1,36233
14,1,1275
15,1,28994
16,1,18283
17,1,18645
18,1,6361
19,1,675
20,1,42149
21,1,21014
22,1,23937
23,1,47223
24,2,23876
25,2,36368
26,2,1410
27,2,29129
28,2,18418
29,2,18780
30,2,6496
31,2,810
32,2,42284
33,2,21149
34,2,24072
35,2,47358
36,3,24011
37,3,36503
38,3,1545
39,3,29264
40,3,18553
41,3,18915
42,3,6631
43,3,945
44,3,42419
45,3,21284
46,3,24207
47,3,47493
48,4,24146
49,4,36638
50,4,1680
51,4,29399
52,4,18688
53,4,19050
54,4,6766
55,4,1080
56,4,42554
57,4,21419
58,4,24342
59,4,47628
60,5,24281
61,5,36773
62,5,1815
63,5,29534
64,5,18823
65,5,19185
66,5,6901
67,5,1215
68,5,42689
69,5,21554
70,5,24477
71,5,47763
72,6,24416
73,6,36908
74,6,1950
75,6,29669
76,6,18958
77,6,19320
78,6,7036
79,6,1350
80,6,42824
81,6,21689
82,6,24612
83,6,47898
84,7,24551
85,7,37043
86,7,2085
87,7,29804
88,7,19093
89,7,19455
90,7,7171
91,7,1485
92,7,42959
93,7,21824
94,7,24747
95,7,48033
96,8,24686
97,8,37178
98,8,2220
99,8,29939
100,8,19228
101,8,19590
102,8,7306
103,8,1620
104,8,43094
105,8,21959
106,8,24882
107,8,48168
108,9,24821
109,9,37313
110,9,2355
111,9,30074
112,9,19363
113,9,19725
114,9,7441
115,9,1755
116,9,43229
117,9,22094
118,9,25017
119,9,48303
120,10,24956
121,10,37448
122,10,2490
123,10,30209
124,10,19498
125,10,19860
126,10,7576
127,10,1890
128,10,43364
129,10,22229
130,10,25152
131,10,48438
132,11,25091
133,11,37583
134,11,2625
135,11,30344
136,11,19633
137,11,19995
138,11,7711
139,11,2025
140,11,43499
141,11,22364
142,11,25287
143,11,48573
144,12,25226
145,12,37718
146,12,2760
147,12,30479
148,12,19768
149,12,20130
150,12,7846
151,12,2160
152,12,43634
153,12,22499
154,12,25422
155,12,108
156,13,25361
157,13,37853
158,13,2895
159,13,30614
160,13,19903
161,13,20265
162,13,7981
163,13,2295
164,13,43769
165,13,22634
166,13,25557
167,13,243
168,14,25496
169,14,37988
170,14,3030
171,14,30749
172,14,20038
173,14,20400
174,14,8116
175,14,2430
176,14,43904
177,14,22769
178,14,25692
179,14,378
180,15,25631
181,15,38123
182,15,3165
183,15,30884
184,15,20173
185,15,20535
186,15,8251
187,15,2565
188,15,44039
189,15,22904
190,15,25827
191,15,513
192,16,25766
193,16,38258
194,16,3300
195,16,31019
196,16,20308
197,16,20670
198,16,8386
199,16,2700
200,16,44174
201,16,23039
202,16,25962
203,16,648
204,17,25901
205,17,38393
206,17,3435
207,17,31154
208,17,20443
209,17,20805
210,17,8521
211,17,2835
212,17,44309
213,17,23174
214,17,26097
215,17,783
216,18,26036
217,18,38528
218,18,3570
219,18,31289
220,18,20578
221,18,20940
222,18,8656
223,18,2970
224,18,44444
225,18,23309
226,18,26232
227,18,918
228,19,26171
229,19,38663
230,19,3705
231,19,31424
232,19,20713
233,19,21075
234,19,8791
235,19,3105
236,19,44579
237,19,23444
238,19,26367
239,19,1053
240,20,26306
241,20,38798
242,20,3840
243,20,31559
244,20,20848
245,20,21210
246,20,8926
247,20,3240
248,20,44714
249,20,23579
250,20,26502
251,20,1188
252,21,26441
253,21,38933
254,21,3975
255,21,31694
256,21,20983
257,21,21345
258,21,9061
259,21,3375
260,21,44849
261,21,23714
262,21,26637
263,21,1323
264,22,26576
265,22,39068
266,22,4110
267,22,31829
268,22,21118
269,22,21480
270,22,9196
271,22,3510
272,22,44984
273,22,23849
274,22,26772
275,22,1458
276,23,26711
277,23,39203
278,23,4245
279,23,31964
280,23,21253
281,23,21615
282,23,9331
283,23,3645
284,23,45119
285,23,23984
286,23,26907
287,23,1593
288,24,26846
289,24,39338
290,24,4380
291,24,32099
292,24,21388
293,24,21750
294,24,9466
295,24,3780
296,24,45254
297,24,24119
298,24,27042
299,24,1728
300,25,26981
301,25,39473
302,25,4515
303,25,32234
304,25,21523
305,25,21885
306,25,9601
307,25,3915
308,25,45389
309,25,24254
310,25,27177
311,25,1863
312,26,27116
313,26,39608
314,26,4650
315,26,32369
316,26,21658
317,26,22020
318,26,9736
319,26,4050
320,26,45524
321,26,24389
322,26,27312
323,26,1998
324,27,27251
325,27,39743
326,27,4785
327,27,32504
328,27,21793
329,27,22155
330,27,9871
331,27,4185
332,27,45659
333,27,24524
334,27,27447
335,27,2133
336,28,27386
337,28,39878
338,28,4920
339,28,32639
340,28,21928
341,28,22290
342,28,10006
343,28,4320
344,28,45794
345,28,24659
346,28,27582
347,28,2268
348,29,27521
349,29,40013
350,29,5055
351,29,32774
352,29,22063
353,29,22425
354,29,10141
355,29,4455
356,29,45929
357,29,24794
358,29,27717
359,29,2403
360,30,27656
361,30,40148
362,30,5190
363,30,32909
364,30,22198
365,30,22560
366,30,10276
367,30,4590
368,30,46064
369,30,24929
370,30,27852
371,30,2538
372,31,27791
373,31,40283
374,31,5325
375,31,33044
376,31,22333
377,31,22695
378,31,10411
379,31,4725
380,31,46199
381,31,25064
382,31,27987
383,31,2673
384,32,27926
385,32,40418
386,32,5460
387,32,33179
388,32,22468
389,32,22830
390,32,10546
391,32,4860
392,32,46334
393,32,25199
394,32,28122
395,32,2808
396,33,28061
397,33,40553
398,33,5595
399,33,33314
400,33,22603
401,33,22965
402,33,10681
403,33,4995
404,33,46469
405,33,25334
406,33,28257
407,33,2943
408,34,28196
409,34,40688
410,34,5730
411,34,33449
412,34,22738
413,34,23100
414,34,10816
415,34,5130
416,34,46604
417,34,25469
418,34,28392
419,34,3078
420,35,28331
421,35,40823
422,35,5865
423,35,33584
424,35,22873
425,35,23235
426,35,10951
427,35,5265
428,35,46739
429,35,25604
430,35,28527
431,35,3213
432,36,28466
433,36,40958
434,36,6000
435,36,33719
436,36,23008
437,36,23370
438,36,11086
439,36,5400
440,36,46874
441,36,25739
442,36,28662
443,36,3348
444,37,28601
445,37,41093
446,37,6135
447,37,33854
448,37,23143
449,37,23505
450,37,11221
451,37,5535
452,37,47009
453,37,25874
454,37,28797
455,37,3483
456,38,28736
457,38,41228
458,38,6270
459,38,33989
460,38,23278
461,38,23640
462,38,11356
463,38,5670
464,38,47144
465,38,26009
466,38,28932
467,38,3618
468,39,28871
469,39,41363
470,39,6405
471,39,34124
472,39,23413
473,39,23775
474,39,11491
475,39,5805
476,39,47279
477,39,26144
478,39,29067
479,39,3753
480,40,29006
481,40,41498
482,40,6540
483,40,34259
484,40,23548
485,40,23910
486,40,11626
487,40,5940
488,40,47414
489,40,26279
490,40,29202
491,40,3888
492,41,29141
493,41,41633
494,41,6675
495,41,34394
496,41,23683
497,41,24045
498,41,11761
499,41,6075
500,41,47549
501,41,26414
502,41,29337
503,41,4023
504,42,29276
505,42,41768
506,42,6810
507,42,34529
508,42,23818
509,42,24180
510,42,11896
511,42,6210
512,42,47684
513,42,26549
514,42,29472
515,42,4158
516,43,29411
517,43,41903
518,43,6945
519,43,34664
520,43,23953
521,43,24315
522,43,12031
523,43,6345
524,43,47819
525,43,26684
526,43,29607
527,43,4293
528,44,29546
529,44,42038
530,44,7080
531,44,34799
532,44,24088
533,44,24450
534,44,12166
535,44,6480
536,44,47954
537,44,26819
538,44,29742
539,44,4428
540,45,29681
541,45,42173
542,45,7215
543,45,34934
544,45,24223
545,45,24585
546,45,12301
547,45,6615
548,45,48089
549,45,26954
550,45,29877
551,45,4563
552,46,29816
553,46,42308
554,46,7350
555,46,35069
556,46,24358
557,46,24720
558,46,12436
559,46,6750
560,46,48224
561,46,27089
562,46,30012
563,46,4698
564,47,29951
565,47,42443
566,47,7485
567,47,35204
568,47,24493
569,47,24855
570,47,12571
571,47,6885
572,47,48359
573,47,27224
574,47,30147
575,47,4833
576,48,30086
577,48,42578
578,48,7620
579,48,35339
580,48,24628
581,48,24990
582,48,12706
583,48,7020
584,48,48494
585,48,27359
586,48,30282
587,48,4968
588,49,30221
589,49,42713
590,49,7755
591,49,35474
592,49,24763
593,49,25125
594,49,12841
595,49,7155
596,49,29
597,49,27494
598,49,30417
599,49,5103
600,50,30356
601,50,42848
602,50,7890
603,50,35609
604,50,24898
605,50,25260
606,50,12976
607,50,7290
608,50,164
609,50,27629
610,50,30552
611,50,5238
612,51,30491
613,51,42983
614,51,8025
615,51,35744
616,51,25033
617,51,25395
618,51,13111
619,51,7425
620,51,299
621,51,27764
622,51,30687
623,51,5373
624,52,30626
625,52,43118
626,52,8160
627,52,35879
628,52,25168
629,52,25530
630,52,13246
631,52,7560
632,52,434
633,52,27899
634,52,30822
635,52,5508
636,53,30761
637,53,43253
638,53,8295
639,53,36014
640,53,25303
641,53,25665
642,53,13381
643,53,7695
644,53,569
645,53,28034
646,53,30957
647,53,5643
648,54,30896
649,54,43388
650,54,8430
651,54,36149
652,54,25438
653,54,25800
654,54,13516
655,54,7830
656,54,704
657,54,28169
658,54,31092
659,54,5778
660,55,31031
661,55,43523
662,55,8565
663,55,36284
664,55,25573
665,55,25935
666,55,13651
667,55,7965
668,55,839
669,55,28304
670,55,31227
671,55,5913
672,56,31166
673,56,43658
674,56,8700
675,56,36419
676,56,25708
677,56,26070
678,56,13786
679,56,8100
680,56,974
681,56,28439
682,56,31362
683,56,6048
684,57,31301
685,57,43793
686,57,8835
687,57,36554
688,57,25843
689,57,26205
690,57,13921
691,57,8235
692,57,1109
693,57,28574
694,57,31497
695,57,6183
696,58,31436
697,58,43928
698,58,8970
699,58,36689
700,58,25978
701,58,26340
702,58,14056
703,58,8370
704,58,1244
705,58,28709
706,58,31632
707,58,6318
708,59,31571
709,59,44063
710,59,9105
711,59,36824
712,59,26113
713,59,26475
714,59,14191
715,59,8505
716,59,1379
717,59,28844
718,59,31767
719,59,6453
720,60,31706
721,60,44198
722,60,9240
723,60,36959
724,60,26248
725,60,26610
726,60,14326
727,60,8640
728,60,1514
729,60,28979
730,60,31902
731,60,6588
732,61,31841
733,61,44333
734,61,9375
735,61,37094
736,61,26383
737,61,26745
738,61,14461
739,61,8775
740,61,1649
741,61,29114
742,61,32037
743,61,6723
744,62,31976
745,62,44468
746,62,9510
747,62,37229
748,62,26518
749,62,26880
750,62,14596
751,62,8910
