eid,vid,cid
237599,64800,10800
0,0,0
1,0,4362
2,0,416
3,0,8909
4,0,4156
5,0,3216
6,0,3112
7,0,2560
8,0,2912
9,0,6405
10,0,8593
11,0,4969
12,0,6723
13,1,30
14,1,4392
15,1,446
16,1,8939
17,1,4186
18,1,3246
19,1,3142
20,1,2590
21,1,2942
22,1,6435
23,1,8623
24,1,4999
25,1,6753
26,2,60
27,2,4422
28,2,476
29,2,8969
30,2,4216
31,2,3276
32,2,3172
33,2,2620
34,2,2972
35,2,6465
36,2,8653
37,2,5029
38,2,6783
39,3,90
40,3,4452
41,3,506
42,3,8999
43,3,4246
44,3,3306
45,3,3202
46,3,2650
47,3,3002
48,3,6495
49,3,8683
50,3,5059
51,3,6813
52,4,120
53,4,4482
54,4,536
55,4,9029
56,4,4276
57,4,3336
58,4,3232
59,4,2680
60,4,3032
61,4,6525
62,4,8713
63,4,5089
64,4,6843
65,5,150
66,5,4512
67,5,566
68,5,9059
69,5,4306
70,5,3366
71,5,3262
72,5,2710
73,5,3062
74,5,6555
75,5,8743
76,5,5119
77,5,6873
78,6,180
79,6,4542
80,6,596
81,6,9089
82,6,4336
83,6,3396
84,6,3292
85,6,2740
86,6,3092
87,6,6585
88,6,8773
89,6,5149
90,6,6903
91,7,210
92,7,4572
93,7,626
94,7,9119
95,7,4366
96,7,3426
97,7,3322
98,7,2770
99,7,3122
100,7,6615
101,7,8803
102,7,5179
103,7,6933
104,8,240
105,8,4602
106,8,656
107,8,9149
108,8,4396
109,8,3456
110,8,3352
111,8,2800
112,8,3152
113,8,6645
114,8,8833
115,8,5209
116,8,6963
117,9,270
118,9,4632
119,9,686
120,9,9179
121,9,4426
122,9,3486
123,9,3382
124,9,2830
125,9,3182
126,9,6675
127,9,8863
128,9,5239
129,9,6993
130,10,300
131,10,4662
132,10,716
133,10,9209
134,10,4456
135,10,3516
136,10,3412
137,10,2860
138,10,3212
139,10,6705
140,10,8893
141,10,5269
142,10,7023
143,11,330
144,11,4692
145,11,746
146,11,9239
147,11,4486
148,11,3546
149,11,3442
150,11,2890
151,11,3242
152,11,6735
153,11,8923
154,11,5299
155,11,7053
156,12,360
157,12,4722
158,12,776
159,12,9269
160,12,4516
161,12,3576
162,12,3472
163,12,2920
164,12,3272
165,12,6765
166,12,8953
167,12,5329
168,12,7083
169,13,390
170,13,4752
171,13,806
172,13,9299
173,13,4546
174,13,3606
175,13,3502
176,13,2950
177,13,3302
178,13,6795
179,13,8983
180,13,5359
181,13,7113
182,14,420
183,14,4782
184,14,836
185,14,9329
186,14,4576
187,14,3636
188,14,3532
189,14,2980
190,14,3332
191,14,6825
192,14,9013
193,14,5389
194,14,7143
195,15,450
196,15,4812
197,15,866
198,15,9359
199,15,4606
200,15,3666
201,15,3562
202,15,3010
203,15,3362
204,15,6855
205,15,9043
206,15,5419
207,15,7173
208,16,480
209,16,4842
210,16,896
211,16,9389
212,16,4636
213,16,3696
214,16,3592
215,16,3040
216,16,3392
217,16,6885
218,16,9073
219,16,5449
220,16,7203
221,17,510
222,17,4872
223,17,926
224,17,9419
225,17,4666
226,17,3726
227,17,3622
228,17,3070
229,17,3422
230,17,6915
231,17,9103
232,17,5479
233,17,7233
234,18,540
235,18,4902
236,18,956
237,18,9449
238,18,4696
239,18,3756
240,18,3652
241,18,3100
242,18,3452
243,18,6945
244,18,9133
245,18,5509
246,18,7263
247,19,570
248,19,4932
249,19,986
250,19,9479
