eid,vid,cid
226799,64800,32400
0,0,54
1,0,9318
2,0,14392
3,0,27561
4,0,26909
5,0,10219
6,0,2534
7,0,8597
8,1,144
9,1,9408
10,1,14482
11,1,27651
12,1,26999
13,1,10309
14,1,2624
15,1,8687
16,2,234
17,2,9498
18,2,14572
19,2,27741
20,2,27089
21,2,10399
22,2,2714
23,2,8777
24,3,324
25,3,9588
26,3,14662
27,3,27831
28,3,27179
29,3,10489
30,3,2804
31,3,8867
32,4,414
33,4,9678
34,4,14752
35,4,27921
36,4,27269
37,4,10579
38,4,2894
39,4,8957
40,5,504
41,5,9768
42,5,14842
43,5,28011
44,5,27359
45,5,10669
46,5,2984
47,5,9047
48,6,594
49,6,9858
50,6,14932
51,6,28101
52,6,27449
53,6,10759
54,6,3074
55,6,9137
56,7,684
57,7,9948
58,7,15022
59,7,28191
60,7,27539
61,7,10849
62,7,3164
63,7,9227
64,8,774
65,8,10038
66,8,15112
67,8,28281
68,8,27629
69,8,10939
70,8,3254
71,8,9317
72,9,864
73,9,10128
74,9,15202
75,9,28371
76,9,27719
77,9,11029
78,9,3344
79,9,9407
80,10,954
81,10,10218
82,10,15292
83,10,28461
84,10,27809
85,10,11119
86,10,3434
87,10,9497
88,11,1044
89,11,10308
90,11,15382
91,11,28551
92,11,27899
93,11,11209
94,11,3524
95,11,9587
96,12,1134
97,12,10398
98,12,15472
99,12,28641
100,12,27989
101,12,11299
102,12,3614
103,12,9677
104,13,1224
105,13,10488
106,13,15562
107,13,28731
108,13,28079
109,13,11389
110,13,3704
111,13,9767
112,14,1314
113,14,10578
114,14,15652
115,14,28821
116,14,28169
117,14,11479
118,14,3794
119,14,9857
120,15,1404
121,15,10668
122,15,15742
123,15,28911
124,15,28259
125,15,11569
126,15,3884
127,15,9947
128,16,1494
129,16,10758
130,16,15832
131,16,29001
132,16,28349
133,16,11659
134,16,3974
135,16,10037
136,17,1584
137,17,10848
138,17,15922
139,17,29091
140,17,28439
141,17,11749
142,17,4064
143,17,10127
144,18,1674
145,18,10938
146,18,16012
147,18,29181
148,18,28529
149,18,11839
150,18,4154
151,18,10217
152,19,1764
153,19,11028
154,19,16102
155,19,29271
156,19,28619
157,19,11929
158,19,4244
159,19,10307
160,20,1854
161,20,11118
162,20,16192
163,20,29361
164,20,28709
165,20,12019
166,20,4334
167,20,10397
168,21,1944
169,21,11208
170,21,16282
171,21,29451
172,21,28799
173,21,12109
174,21,4424
175,21,10487
176,22,2034
177,22,11298
178,22,16372
179,22,29541
180,22,28889
181,22,12199
182,22,4514
183,22,10577
184,23,2124
185,23,11388
186,23,16462
187,23,29631
188,23,28979
189,23,12289
190,23,4604
191,23,10667
192,24,2214
193,24,11478
194,24,16552
195,24,29721
196,24,29069
197,24,12379
198,24,4694
199,24,10757
200,25,2304
201,25,11568
202,25,16642
203,25,29811
204,25,29159
205,25,12469
206,25,4784
207,25,10847
208,26,2394
209,26,11658
210,26,16732
211,26,29901
212,26,29249
213,26,12559
214,26,4874
215,26,10937
216,27,2484
217,27,11748
218,27,16822
219,27,29991
220,27,29339
221,27,12649
222,27,4964
223,27,11027
224,28,2574
225,28,11838
226,28,16912
227,28,30081
228,28,29429
229,28,12739
230,28,5054
231,28,11117
232,29,2664
233,29,11928
234,29,17002
235,29,30171
236,29,29519
237,29,12829
238,29,5144
239,29,11207
240,30,2754
241,30,12018
242,30,17092
243,30,30261
244,30,29609
245,30,12919
246,30,5234
247,30,11297
248,31,2844
249,31,12108
250,31,17182
251,31,30351
252,31,29699
253,31,13009
254,31,5324
255,31,11387
256,32,2934
257,32,12198
258,32,17272
259,32,30441
260,32,29789
261,32,13099
262,32,5414
263,32,11477
264,33,3024
265,33,12288
266,33,17362
267,33,30531
268,33,29879
269,33,13189
270,33,5504
271,33,11567
272,34,3114
273,34,12378
274,34,17452
275,34,30621
276,34,29969
277,34,13279
278,34,5594
279,34,11657
280,35,3204
281,35,12468
282,35,17542
283,35,30711
284,35,30059
285,35,13369
286,35,5684
287,35,11747
288,36,3294
289,36,12558
290,36,17632
291,36,30801
292,36,30149
293,36,13459
