eid,vid,cid
194399,64800,7200
0,0,0
1,0,6235
2,0,2848
3,0,3222
4,1,20
5,1,6255
6,1,2868
7,1,3242
8,2,40
9,2,6275
10,2,2888
11,2,3262
12,3,60
13,3,6295
14,3,2908
15,3,3282
16,4,80
17,4,6315
18,4,2928
19,4,3302
20,5,100
21,5,6335
22,5,2948
23,5,3322
24,6,120
25,6,6355
26,6,2968
27,6,3342
28,7,140
29,7,6375
30,7,2988
31,7,3362
32,8,160
33,8,6395
34,8,3008
35,8,3382
36,9,180
37,9,6415
38,9,3028
39,9,3402
40,10,200
41,10,6435
42,10,3048
43,10,3422
44,11,220
45,11,6455
46,11,3068
47,11,3442
48,12,240
49,12,6475
50,12,3088
51,12,3462
52,13,260
53,13,6495
54,13,3108
55,13,3482
56,14,280
57,14,6515
58,14,3128
59,14,3502
60,15,300
61,15,6535
62,15,3148
63,15,3522
64,16,320
65,16,6555
66,16,3168
67,16,3542
68,17,340
69,17,6575
70,17,3188
71,17,3562
72,18,360
73,18,6595
74,18,3208
75,18,3582
76,19,380
77,19,6615
78,19,3228
79,19,3602
80,20,400
81,20,6635
82,20,3248
83,20,3622
84,21,420
85,21,6655
86,21,3268
87,21,3642
88,22,440
89,22,6675
90,22,3288
91,22,3662
92,23,460
93,23,6695
94,23,3308
95,23,3682
96,24,480
97,24,6715
98,24,3328
99,24,3702
100,25,500
101,25,6735
102,25,3348
103,25,3722
104,26,520
105,26,6755
106,26,3368
107,26,3742
108,27,540
109,27,6775
110,27,3388
111,27,3762
112,28,560
113,28,6795
114,28,3408
115,28,3782
116,29,580
117,29,6815
118,29,3428
119,29,3802
120,30,600
121,30,6835
122,30,3448
123,30,3822
124,31,620
125,31,6855
126,31,3468
127,31,3842
128,32,640
129,32,6875
130,32,3488
131,32,3862
132,33,660
133,33,6895
134,33,3508
135,33,3882
136,34,680
137,34,6915
138,34,3528
139,34,3902
140,35,700
141,35,6935
142,35,3548
143,35,3922
144,36,720
145,36,6955
146,36,3568
147,36,3942
148,37,740
149,37,6975
150,37,3588
151,37,3962
152,38,760
153,38,6995
154,38,3608
155,38,3982
156,39,780
157,39,7015
158,39,3628
159,39,4002
160,40,800
161,40,7035
162,40,3648
163,40,4022
164,41,820
165,41,7055
166,41,3668
167,41,4042
168,42,840
169,42,7075
170,42,3688
171,42,4062
172,43,860
173,43,7095
174,43,3708
175,43,4082
176,44,880
177,44,7115
178,44,3728
179,44,4102
180,45,900
181,45,7135
182,45,3748
183,45,4122
184,46,920
185,46,7155
186,46,3768
187,46,4142
188,47,940
189,47,7175
190,47,3788
191,47,4162
192,48,960
193,48,7195
194,48,3808
195,48,4182
196,49,980
197,49,15
198,49,3828
199,49,4202
200,50,1000
201,50,35
202,50,3848
203,50,4222
204,51,1020
205,51,55
206,51,3868
207,51,4242
208,52,1040
209,52,75
210,52,3888
211,52,4262
212,53,1060
213,53,95
214,53,3908
215,53,4282
216,54,1080
217,54,115
218,54,3928
219,54,4302
220,55,1100
221,55,135
222,55,3948
223,55,4322
224,56,1120
225,56,155
226,56,3968
227,56,4342
228,57,1140
229,57,175
230,57,3988
231,57,4362
232,58,1160
233,58,195
234,58,4008
235,58,4382
236,59,1180
237,59,215
238,59,4028
239,59,4402
240,60,1200
241,60,235
242,60,4048
243,60,4422
244,61,1220
245,61,255
246,61,4068
247,61,4442
248,62,1240
249,62,275
250,62,4088
251,62,4462
252,63,1260
253,63,295
254,63,4108
255,63,4482
256,64,1280
257,64,315
258,64,4128
259,64,4502
260,65,1300
261,65,335
262,65,4148
263,65,4522
264,66,1320
265,66,355
266,66,4168
267,66,4542
268,67,1340
269,67,375
270,67,4188
271,67,4562
272,68,1360
273,68,395
274,68,4208
275,68,4582
276,69,1380
277,69,415
278,69,4228
279,69,4602
280,70,1400
281,70,435
282,70,4248
283,70,4622
284,71,1420
285,71,455
286,71,4268
287,71,4642
288,72,1440
289,72,475
290,72,4288
291,72,4662
292,73,1460
293,73,495
294,73,4308
295,73,4682
296,74,1480
297,74,515
298,74,4328
299,74,4702
300,75,1500
301,75,535
302,75,4348
303,75,4722
304,76,1520
305,76,555
306,76,4368
307,76,4742
