eid,vid,cid
215999,64800,43200
0,0,34903
1,0,20927
2,0,32093
3,0,1052
4,0,25611
5,0,16093
6,0,16454
7,0,5520
8,0,506
9,0,37399
10,0,18518
11,0,21120
12,1,35023
13,1,21047
14,1,32213
15,1,1172
16,1,25731
17,1,16213
18,1,16574
19,1,5640
20,1,626
21,1,37519
22,1,18638
23,1,21240
24,2,35143
25,2,21167
26,2,32333
27,2,1292
28,2,25851
29,2,16333
30,2,16694
31,2,5760
32,2,746
33,2,37639
34,2,18758
35,2,21360
36,3,35263
37,3,21287
38,3,32453
39,3,1412
40,3,25971
41,3,16453
42,3,16814
43,3,5880
44,3,866
45,3,37759
46,3,18878
47,3,21480
48,4,35383
49,4,21407
50,4,32573
51,4,1532
52,4,26091
53,4,16573
54,4,16934
55,4,6000
56,4,986
57,4,37879
58,4,18998
59,4,21600
60,5,35503
61,5,21527
62,5,32693
63,5,1652
64,5,26211
65,5,16693
66,5,17054
67,5,6120
68,5,1106
69,5,37999
70,5,19118
71,5,21720
72,6,35623
73,6,21647
74,6,32813
75,6,1772
76,6,26331
77,6,16813
78,6,17174
79,6,6240
80,6,1226
81,6,38119
82,6,19238
83,6,21840
84,7,35743
85,7,21767
86,7,32933
87,7,1892
88,7,26451
89,7,16933
90,7,17294
91,7,6360
92,7,1346
93,7,38239
94,7,19358
95,7,21960
96,8,35863
97,8,21887
98,8,33053
99,8,2012
100,8,26571
101,8,17053
102,8,17414
103,8,6480
104,8,1466
105,8,38359
106,8,19478
107,8,22080
108,9,35983
109,9,22007
110,9,33173
111,9,2132
112,9,26691
113,9,17173
114,9,17534
115,9,6600
116,9,1586
117,9,38479
118,9,19598
119,9,22200
120,10,36103
121,10,22127
122,10,33293
123,10,2252
124,10,26811
125,10,17293
126,10,17654
127,10,6720
128,10,1706
129,10,38599
130,10,19718
131,10,22320
132,11,36223
133,11,22247
134,11,33413
135,11,2372
136,11,26931
137,11,17413
138,11,17774
139,11,6840
140,11,1826
141,11,38719
142,11,19838
143,11,22440
144,12,36343
145,12,22367
146,12,33533
147,12,2492
148,12,27051
149,12,17533
150,12,17894
151,12,6960
152,12,1946
153,12,38839
154,12,19958
155,12,22560
156,13,36463
157,13,22487
158,13,33653
159,13,2612
160,13,27171
161,13,17653
162,13,18014
163,13,7080
164,13,2066
165,13,38959
166,13,20078
167,13,22680
168,14,36583
169,14,22607
170,14,33773
171,14,2732
172,14,27291
173,14,17773
174,14,18134
175,14,7200
176,14,2186
177,14,39079
178,14,20198
179,14,22800
180,15,36703
181,15,22727
182,15,33893
183,15,2852
184,15,27411
185,15,17893
186,15,18254
187,15,7320
188,15,2306
189,15,39199
190,15,20318
191,15,22920
192,16,36823
193,16,22847
194,16,34013
195,16,2972
196,16,27531
197,16,18013
198,16,18374
199,16,7440
200,16,2426
201,16,39319
202,16,20438
203,16,23040
204,17,36943
205,17,22967
206,17,34133
207,17,3092
208,17,27651
209,17,18133
210,17,18494
211,17,7560
212,17,2546
213,17,39439
214,17,20558
215,17,23160
216,18,37063
217,18,23087
218,18,34253
219,18,3212
220,18,27771
221,18,18253
222,18,18614
223,18,7680
224,18,2666
